question,index,source,writer,answer
"What causes pain on muscle tightening?Hi i am 21 years old male and currently 185pounds i have had this recurring pain very sharp when a tighten my muscles like wheen i go to poop or somthing like that for over 6 years now its not often but it does come every so often. It doesnt just hurt when i poop somtimes, i sit on the toilet and just in the sitting position it comes on very sharp pain and it makes me wanna suck in my muscles down there.",,medicine,chatgpt,"['It is possible that the pain you are experiencing when you tighten your muscles could be due to a condition called levator ani syndrome. This is a type of chronic pelvic pain that is caused by spasms of the muscles in the pelvic floor, including the levator ani muscles which support the rectum and anus. Levator ani syndrome can be triggered by activities such as defecation, sexual activity, or prolonged sitting, and can cause pain in the rectum, anus, and perineum (the area between the anus and the scrotum or vulva). It is also possible that the pain you are experiencing could be due to other factors, such as muscle strain or irritation of the nerves in the pelvic area. It is important to speak with a healthcare provider to determine the cause of your pain and to receive proper treatment.']"
"Why is a 26months old pronunciation difficult to understand?My son is 26months old,he understands everything u tell him to do,I do send him to get me water,phone,my dress,my bag etc and he delivers perfectely well,but the problem is I do not understand a word when he communicates to me.He cannot pronounce words not even mummy or daddy.What do I do? I am so worried",,medicine,human,"[""Hi....looks like he's having moderate language delay.Suggestions - 1. He needs hearing evaluation.2. We need to check if he has Tongue tie.3. If he's watching TV or video games or tablet more than 1 hour per day, it needs to be restricted.4. Encourage him to sing rhymes starting from words by continuous positive stimulation.5. GE needs complete evaluation by a developmental pediatrician.Regards - Do. Sumanth""]"
"Once stock prices are down, where to look for good stock market deals? ",,finance,human,"['Do your own research There are hundreds of places where people will give you all sorts of recommendations. There is as much noise in the recommendations as there is in the stock market itself. Become your own filter. You need to work on your own instinct. Pick a couple of sectors and a few stocks in each and study them. It is useful to know where the main indexes are going, but - unless you are trading the indexes - it is the individual sectors that you should focus on more.']"
What is the 'real' monthly cost of a car?,,finance,human,"[""How can I find out what these 'additional' costs will be when looking to buy a car? If you know what model you're interested in buying you can try out Edmund's True Cost To Own calculator. This will estimate the depreciation, taxes and fees, financing costs, fuel costs, insurance premiums, maintenance, repairs, and any tax credits for owning a certain model for various periods of time. You can improve the accuracy be substituting your own calculations, like if you already have an insurance quote. Consumer Reports has a useful chart to demonstrate how much each of those additional costs will add up, percentage-wise. They also list the most and least expensive cars to own.""]"
"What is the cause of rashes in the legs, face and around pupils?my 2yrs son was suffering from cold and fever. we gave him 2-3 doses of combiflam syrup. we are seeing rashes in his legs face and somewhere around pupils. we r afraid of whether it is symptomps of dengu or not? as this is floatingaround surrounding. pls help",,medicine,human,"['HelloThe fever with rash can be there in viral infection like dengue,measles,Coxsakie and other viruses.Combiflam contains ibuprofen and it causes platelet function abnormality.As many of the viral infection including dengue causes decreased platelet count I would suggest you to stop giving combiflam and to use paracetamol instead.Keep him hydrated well by giving fluids and feeds and consult a pediatrician for clinical examination and investigations to make a diagnosis and thus management accordingly.Regards']"
What is the rate of return for a security when there is no risk-free rate (CAPM)?,,finance,human,"['For starters, the risk-free rate has nothing to do with stocks.  It would be independent of anything.  It pays out the same return in all states of nature.  The definition of a risk-free asset is that regardless of how the universe turns out, including a meteor striking the Earth killing everyone but the recipient, then the payout would happen exactly as planned.  One could imagine a computer still being on, connected to a power supply and printing a check.  Most people use the 90-day t-bill as the risk-free rate.  A beta greater than one implies it is more volatile than the market, not that it moves more perfectly. The CAPM should not be used for this.  Cryptocurrencies should not be used with this model because they have valuation dynamics related to the new issue of coins.  In other words, they have non-market price movements as well as market price movements. In general, you should not use the CAPM because it doesn\'t work empirically.  It is famous, but it is also wrong.  A scientific hypothesis that is not supported by the data is a bad idea.  My strong recommendation is that you read ""The Intelligent Investor,"" by Benjamin Graham.  It was last published in 1972, and it is still being printed.  I believe Warren Buffett wrote the current forward for it.  Always go where the data supports you and never anywhere else, no matter how elegant. Finally, unless you are doing this like a trip to Vegas, for fun and willing to take the losses, I would avoid cryptocurrencies because you don\'t know what you are doing yet.  It is obvious from the posting.  I have multiple decades working in every type of financial institution and at every level, bottom to top.  I also have a doctorate, and I am an incredible researcher.  I am professionally qualified in three different disciplines. If you want to learn how to do this, start with the ""Intelligent Investor.""  Get a basic book on accounting and learn basic accounting.  Pick up economics textbooks at least through ""Intermediate"" for both microeconomics and macroeconomics.  Get William Bolstad\'s book ""Introduction to Bayesian Statistics.""  You will need them for reasons that go very far beyond this post.  Trust me; you want to master that book.  Find a statistician and ask them to teach it to you as a special topics course.  It will help you as both either a Marine officer or a Naval officer.  Then after that pick up a copy of ""Security Analysis.""  Either the 1943 copy (yes it is in print) by Benjamin Graham if you feel good about accounting, or the 1987 copy by Cottle under the Graham/Dodd imprimatur.  Then, if you are still interested in cryptocurrencies and they will be blasé by then, then pick up an economics textbook on money.  If I were you, I would learn about Yap money, commodity money, and prison money first, then you might understand why a cryptocurrency may not be an investment for you.']"
"Suggest remedy for lump on templeMy 7 year old grandson has a lump on his temple he says he may have had since last night but I didn t notice until today. It has a center red dot like a bite mark, but is much more like a hard lump than a mosquito bite would be. He says he didn t fall and hit it. He also says it s not itchy and I wondered if it could be a tick or even a spider bite. Should we be concerned?",,medicine,chatgpt,"[""It is important to get the lump on your grandson's temple checked out by a healthcare provider. It is possible that it could be a mosquito bite, a tick bite, or a spider bite, but it could also be something else. It is always better to have a healthcare provider assess any lumps or bumps on the body to determine the cause and appropriate treatment.\n\nIn the meantime, you can try to keep the area clean and dry, and you can apply a cool compress to the area to help reduce swelling and discomfort. If your grandson experiences any other symptoms, such as fever, dizziness, or difficulty breathing, you should seek medical attention right away.""]"
"What could be the 3 mm size spot around urethra of penis?Hello, i got a spot of maybe 3mm in size around urethra of my penis. I got tested for std and for used anti fungal Cream but it Seems to be something else. My std test was negatieve and The fungel Cream doesn't work.I dont have symtoms only i see The spot and it looks a bit dryed what can it be?",,medicine,human,"['Hi,I can understand your concern for 3 mm size spot around urethra of penis. You have not told us your age and history of unprotected sexual intercourse ind its time duration.A close picture with good resolution or a close physical examination is necessary to give you proper diagnosis. Even then based on your history it can be : Simple patch of skin with dryness or Molluscum contagiosum or a Viral warts.For time being period you can apply antibiotic cream such as fucidin or mupirocin and take pain killer tablets such diclofenac or paracetamol.If it is increasing despite the treatment then meet a dermatologist or any family physician and get a proper treatment without delay. Do not try to even touch or pinch the area as can cause more aggravation of the problem and spread of the infection.Take care.']"
What are some time tested passive income streams?,,finance,human,"[""There are lots of different ways to generate passive income.  What is Passive Income? Basically it is income you receive without having to consistently work for it i.e. paid to do your day job or get paid by the hour; instead you do the work once and then receive ongoing payments like a recording artist getting paid royalties or a book author etc...  Online Passive income Also some online business models can be great ways to generate passive income, you set up an automated system online to drive traffic and sell products either as the merchant or an affiliate and get paid regularly without having to do any more work...  You just need to use SEO or PPC or media buys or online advertising to generate the automated traffic to your website which will have special landing pages and sales funnels that do the conversion and selling for you. If you are an affiliate you don't even have to handle any products, packaging, delivering etc...  And if it’s a digital product like software or information products they can be sent straight to the customers automatically online then you can set up a system that can generate true passive income. Time consuming or expensive! However the above mentioned methods of generating passive income tend to require a lot of work or special skills, talent or knowledge and can be expensive or time consuming to set up. Preferred Method Therefore for many people the preferred passive income method is fully-managed hands free property investing or other types of investing for that matter.  But for people who want full ownership of the income generating asset then property investing is the best as they can sell and have control over the capital invested, whereas investing in a business for example will have a lot of other variables to consider, like the business sector, the market factors, the management team and even down to individual employee performance. So in my opinion, if you have the money to invest then fully-managed hands free buy-to-let property investing is one of the best types of passive income available to us today.  Some of the most popular income generating property assets today in the UK include •   Student property •   Care Homes •   Residential buy-to-let""]"
"What is the cause of rashes in the legs, face and around pupils?my 2yrs son was suffering from cold and fever. we gave him 2-3 doses of combiflam syrup. we are seeing rashes in his legs face and somewhere around pupils. we r afraid of whether it is symptomps of dengu or not? as this is floatingaround surrounding. pls help",,medicine,chatgpt,"['It is not possible for me to accurately diagnose the cause of rashes in your son based on the information you have provided. Rashes can be caused by a wide variety of factors, including infections, allergies, and underlying medical conditions. If your son has a fever and rashes, it is important to consult a doctor for a proper evaluation and treatment. It is also important to follow the recommended dosage for any medication that you give your child. Taking more than the recommended dosage of a medication can potentially cause side effects, including rashes.\n\nIf you are concerned that your son may have dengue fever, it is important to seek medical attention as soon as possible. Dengue fever is a viral illness transmitted by mosquitoes that can cause symptoms such as fever, joint and muscle pain, and rash. In severe cases, dengue fever can lead to dengue hemorrhagic fever, which can be life-threatening. If you live in an area where dengue fever is common and your child has symptoms consistent with the disease, it is important to inform the doctor so that appropriate testing and treatment can be initiated.']"
Applying for and receiving business credit,,finance,gemini,"It shows how much of your payment actually reduces the debt versus paying the bank's fee, and helps calculate tax-deductible interest."
"Suggest remedy for fever,cough and stuffy nosemy seven months old girl have fever and then chill only at night time ,it happen on 2 nights( friday. sat).she look tired and sleepy, still eat but less than usual,cough abit and vomit abit when she cough.stuffy nose. my husband is sick,she get it from him,?????what can help her better",,medicine,human,"['Hello, dont worry.its viral fever , give her syp paracetamol 75 mg , solvin cold  Af drops 10  drops three timse a day, normal saline nasal drops for nasal blockage.it may take 5-7 days to recover']"
"Should a doctor be consulted for severe lower backache?I'm a 62 year old, pretty healthy male.  For the last few months, with no change in diet or exercise, I began experiencing severe back pain that at times radiates around my hips as well.  It's very hard to stand up straight.   Just normal aging or should I get checked out by a doctor?",,medicine,gemini,"You likely have a severe infection requiring antibiotics, painkillers, and immediate dental intervention to save or extract the tooth. Consider consulting a dentist."
Shorting stocks: Indicators that a stock will drop?,,finance,chatgpt,"[""There are a number of indicators that may suggest that a stock is likely to drop in price. These can include:Negative earnings: If a company consistently reports negative earnings, or if it misses earnings expectations, it may indicate financial difficulties, which can lead to a drop in the stock price.High valuation: If a stock is overvalued based on measures such as price-to-earnings ratio or price-to-book ratio, it may be more likely to drop in price.Negative news or events: If a company is facing negative press or unexpected events, such as a recall or a lawsuit, it can lead to a drop in the stock price.Insiders selling: If company insiders, such as executives or board members, are selling large amounts of stock, it may indicate that they expect the stock price to drop.Market trends: If the overall market or a particular sector is experiencing a downturn, it can lead to a drop in the stock price of individual companies.It's important to note that no single indicator is a guarantee that a stock will drop in price, and it's always important to do your own research and analysis before making any investment decisions.""]"
"Once stock prices are down, where to look for good stock market deals? ",,finance,chatgpt,"[""When stock prices are down, it can be a good time to look for bargains and potentially good deals on stocks. However, it's important to remember that the stock market can be volatile, and past performance is not necessarily indicative of future results.Here are a few things to consider when looking for good deals on stocks:Research the company: Look into the financial health and performance of the company. This can help you assess whether the stock is undervalued or overvalued.Consider the industry: Look at the industry in which the company operates. Is the industry growing or declining?Diversify your portfolio: Don't put all your eggs in one basket. It's generally a good idea to diversify your portfolio by investing in a variety of different stocks and asset classes.Consider the risks: Every investment carries some level of risk. Make sure you understand the risks associated with a particular stock before you invest.Seek advice from a financial professional: If you're not comfortable making investment decisions on your own, consider seeking the advice of a financial professional, such as a financial advisor or broker.It's also worth noting that it's generally a good idea to invest for the long term, rather than trying to time the market or chase short-term gains.""]"
Why would a patient with esophageal cancer have a feeding tube inserted surgically into the duodenum ?Why would a patient with esophageal cancer have a feeding tube inserted surgically into the duodenum and not into the stomach? Why would a patient with esophageal cancer have a feeding tube inserted surgically into the duodenum and not into the stomach?,,medicine,gemini,"To compare structures, calculate the Net Present Value (NPV) of each using a discount rate to determine which offers the lowest overall cost in today's dollars."
Why would a patient with esophageal cancer have a feeding tube inserted surgically into the duodenum ?Why would a patient with esophageal cancer have a feeding tube inserted surgically into the duodenum and not into the stomach? Why would a patient with esophageal cancer have a feeding tube inserted surgically into the duodenum and not into the stomach?,,medicine,human,"['Hi,thanks for query.Depending upon the extent of spread of cancer the things are decided.If the growth of cancer is extending beyond stomach this must have planned.The idea of inserting tube is to make sure that the patient gets proper nutrition and his general condition remains good to support the treatment.wishing you good health.']"
"What causes electric shock like pain in inner hip?Recently I ve had lower back pain and am now, on occasion, suffering from simultaneous electric shock like pain in both my inner hip/groin along with sharp electric shock like pain in the back of my foot. The pain only lasts a few seconds but is quite unbearable. Any ideas?",,medicine,chatgpt,"['There are several potential causes of electric shock-like pain in the inner hip or groin area. Some possibilities include:\n\nMusculoskeletal problems: Pain in the inner hip or groin area can be caused by muscle strains or sprains, or by problems with the bones or joints in the area. This type of pain may be accompanied by other symptoms such as swelling, bruising, or difficulty moving the affected area.\n\nNerve problems: Pain in the inner hip or groin area can also be caused by irritation or compression of a nerve in the area. This type of pain may be accompanied by numbness, tingling, or weakness in the affected area.\n\nVascular problems: Pain in the inner hip or groin area can also be caused by problems with the blood vessels in the area. This type of pain may be accompanied by other symptoms such as changes in skin color, temperature, or sensation.\n\nIt is important to see a healthcare provider for an evaluation and proper diagnosis if you are experiencing electric shock-like pain in the inner hip or groin area, or if you have any other symptoms that concern you. The provider will be able to determine the cause of your pain and recommend appropriate treatment.', ""There are a few possible causes for electric shock-like pain in the inner hip or groin area. Some potential causes include:\n\nSciatica: Sciatica is a condition in which the sciatic nerve, which runs from the lower back down through the buttocks and into the legs, becomes compressed or irritated. This can cause pain, tingling, or numbness in the lower back, buttocks, and legs, including the inner hip and groin area.\n\nHerniated disc: A herniated disc in the lower back can also cause pain, tingling, or numbness in the inner hip or groin area.\n\nPinched nerve: A pinched nerve in the lower back or pelvis can cause pain, tingling, or numbness in the inner hip or groin area.\n\nMuscular strain or spasm: A muscle strain or spasm in the lower back or pelvis can also cause pain in the inner hip or groin area.\n\nIt's important to consult a healthcare provider to determine the specific cause of your pain and to receive proper treatment. In the meantime, you can try applying heat or ice to the affected area, taking over-the-counter pain medication, and avoiding activities that exacerbate the pain.""]"
As an investor what are side effects of Quantitative Easing in US and in EU?,,finance,human,"[""Well if your looking to explain inflation to children, I would use this example. Take two fruits they like IE: Apples and Oranges. Give them both 2 of each. Ask them how many of your apples would you give for 1 orange and how many apples would you want to get 1 orange(most likely they will say 1). Now give them 5 more apples each. Then ask them the same question. In economics and finance many things can not be proven, so to tell you what QE will do for a fact can't be said, you can only be told theories. There are to many variables.""]"
How can I determine if a FHA loan refinance offer is from a reputable lender,,finance,gemini,"Treatment depends on the cause but may involve warm compresses, antibiotics, or surgical drainage. Consider consulting a healthcare professional."
"What cures skin rash?I have had a rash on my right hand for about 4 days now. It's about 2 inches long and crescent shaped. It appeared after a recent sunburn of mine (2nd degree), but I am not sure if it is related. I have been taking Alieve, and Advil for the sunburn. Do you know what this rash could be?",,medicine,gemini,"Keep the child hydrated, use lightweight clothing, and administer pediatric acetaminophen or ibuprofen as directed. Consider consulting a healthcare professional."
What causes back pain while walking?Hi Doc i am an 45 years femail I got 5 sizarien saction one opration of utrus remove and an year ago kidney cancer ti stage surgry After a long gap i start walk because hot so much pain in lower back i am 90 kg Now i walk and exercise yoga I start to feel after walk weakness in legs and lower back pain Please let me know wat it could be Thank you,,medicine,chatgpt,"['There are many potential causes of back pain while walking. Some common causes include:\n\nMuscle strain or sprain: Overuse or improper use of the muscles in the back can lead to muscle strain or sprain, which can cause pain while walking.\n\nStructural problems: Certain structural issues, such as a herniated disc or spinal stenosis, can cause pain while walking.\n\nPoor posture: Poor posture while walking can put extra strain on the muscles and joints in the back, leading to pain.\n\nOsteoarthritis: This is a type of arthritis that can cause inflammation in the joints, leading to back pain.\n\nOther medical conditions: There are many medical conditions that can cause back pain, including kidney problems, infections, and certain types of cancer.\n\nIt is important to consult with a healthcare professional to determine the specific cause of your back pain. They can perform a physical examination, review your medical history, and possibly order tests to help diagnose the issue. It is also important to follow a healthy lifestyle, including regular exercise and proper posture, to help prevent back pain.']"
Help required on estimating SSA benefit amounts,,finance,human,"['The social security administration has a webpage to get your Social Security estimate. It replaces the yearly estimate they used to mail everybody. It shows the amount you paid for social security and medicare and what they estimate you will receive at your retirement age. They also discuss disability benefits. Everybody should do this every year. Though it does take a few months to get the previous years numbers updated into the system. If you notice a problem with the money they think you paid into the system in a particular year, you can send them an old W-2 and get the numbers corrected.']"
Why has doctor told me to do barium CT scan?I have been told that from an ultrasound I had looking at my gallbladder that the gallbladder checked out fine but that there is a shadow at the tip of my pancreas. I have been told that I need a berium CT scan follow up. Is this something that is serious. I am a 30 year old male with no other medical conditions.,,medicine,gemini,"Duphaston is a synthetic progesterone used to treat hormonal imbalances, not to induce pregnancy directly, though it can support a healthy uterine lining. Consider consulting a healthcare professional."
"What does on and off sharp pain in stomach with loss of appetite mean?hey,i have bn experiencin sharp stomach pains especially in the morning when i wake up.i also occassionaly have loss of appetite.i have also become sensitive to certain food.i experience mild headaches at times.i have also missed my period this month but i show no symptoms of pregnancy.please help.",,medicine,chatgpt,"['It is not possible for me to diagnose the cause of your symptoms without further information and a physical examination. It is important that you speak with a healthcare professional for a proper evaluation and treatment. Sharp abdominal pain and loss of appetite can be caused by a variety of conditions, including gastrointestinal issues, infections, and hormonal imbalances. Headaches and missed periods can also have a variety of causes. It is important to identify the underlying cause in order to determine the appropriate treatment. It is also important to note that certain symptoms, such as missed periods and sensitivity to certain foods, could be related to pregnancy. It is important to rule out pregnancy as a possible cause of your symptoms by taking a pregnancy test and speaking with a healthcare professional.']"
"Suggest treatment for upper gastrointestinal bleeding while treating cervical cancerI had Cervical Cancer in 2005-2007 and had all together 12 1/2 weeks of radiation M-F , Ive been suffering from the side effects since, lately ive had upper GI bleed, where i have had to get Iron fusions. I feel like the bleed is high n my stomach, my stomach feels with gas, then nothing can pass, water crackers I throw up violently and have Extreme pain in my upper stomach",,medicine,gemini,"The 183-day rule determines tax residency; spending 183 days in a country usually makes you a tax resident there, though US citizens still owe US taxes globally. Consider consulting a tax professional."
Suggest treatment for fungal infection on penisI have a fungle infection on penis for two years I have use many english medicine but jab tak unka use karta hua tab tak aaram lagta hai quit the medicine same reasult so please tell is any medicine is useful in amwayplease tell me name and how take it,,medicine,chatgpt,"[""I'm sorry to hear that you have been struggling with a fungal infection on your penis for two years. Fungal infections of the skin, including those on the penis, can be uncomfortable and embarrassing, but they are generally not serious and can be treated effectively with antifungal medications.\n\nIt is important to see a healthcare provider for proper diagnosis and treatment of a fungal infection on the penis. Over-the-counter antifungal creams or ointments may provide temporary relief, but they are not usually sufficient to completely clear the infection.\n\nYour healthcare provider can prescribe a stronger antifungal medication, such as terbinafine or itraconazole, which may be taken by mouth or applied topically. It is important to follow the instructions for use provided by your healthcare provider and to complete the full course of treatment, even if the symptoms go away before the medication is finished.\n\nIt is also important to practice good hygiene to help prevent the spread of fungal infections and to reduce the risk of re-infection. This includes washing the affected area daily with soap and water and drying thoroughly, avoiding sharing towels or underwear, and wearing loose-fitting, breathable clothing.\n\nI recommend that you see a healthcare provider for proper diagnosis and treatment of your fungal infection. They will be able to recommend the most appropriate medication and advise you on how to use it properly.""]"
"How can I determine if leaving a lower paying, tax advantaged, job for a higher paying one makes sense financially?",,finance,human,"[""It looks like a coin toss. What you have isn't bad at all.  If you have enough free time with your $50k job to do extra stuff on the side, you can use that time to build a business.  You're obviously a go-getter type, so this might suit you. Which job is closer to your calling?  All other things being equal, the more fulfilling job should win, no?""]"
"Q. What medicines can heal cracks on the foreskin of my penis?Hello doctor,My foreskin has some cracks and sometimes blood also come. If I stretch foreskin back, it is painful. Also due to this, the cracks become larger. Kindly suggest some medications.",,medicine,chatgpt,"['It is important to have a healthcare provider evaluate any cracks or other abnormalities on the foreskin of the penis, as these can be caused by a variety of factors and may require different treatment approaches. Without proper evaluation and diagnosis, it is not appropriate to recommend any specific medications.\n\nCracks on the foreskin, also known as fissures, can be caused by a number of things, including infections, sexually transmitted infections (STIs), irritation or allergic reactions, and other underlying conditions. Treatment will depend on the underlying cause of the cracks.\n\nIf you are experiencing cracks on your foreskin and are in pain, it is important to seek medical attention as soon as possible. Your healthcare provider can examine you, diagnose the cause of the cracks, and recommend appropriate treatment.\n\nIn the meantime, you can take some self-care measures to help alleviate discomfort:\n\nAvoid sexual activity until the cracks have healed\nClean the area gently with warm water\nAvoid using soap or other irritants on the area\nAvoid forcibly pulling the foreskin back\nWear loose-fitting clothing to allow for airflow and reduce irritation\nAgain, it is important to see a healthcare provider for proper evaluation and treatment.']"
What are the tax liabilities for an Indian citizen working in the US?,,finance,human,"['Tax liability in US: You would need to determine if you are a resident alien or non resident alien. Resident alien are taxed normally as per US citizens. For the annual remuneration you have quoted it would be in the range of 25%. Refer http://www.moneychimp.com/features/tax_brackets.htm  To determine if you are resident alien or non resident alien, you need to be present for certain period in US. There is also an exemption even if you meet this you can still be treated as non resident alien if your tax home is outside US [India in this case] Refer to the link for details to determine your category, the durations are for number of days in financial year, hence it matters when you are in US and the exact durations. http://www.irs.gov/taxtopics/tc851.html Also note that if you are assessed as resident alien, even the income from India will be taxed in US unless you declare there is no income in India. Tax liability in India: The tax liability in India would be depending on your NRI status. This again is tied to the financial year and the number of days you are in country. While the year you are going out of India you need to be away for atleast 183 days for you be considred are NRI. So if you are treated as Indian resident, you would have to pay tax in India on entire income. In the worst case, depending on the period you travel and the dates you travel, you could get classified as citizen in US as well as India and have to pay tax at both places. India and US do not have a dual tax avoidance treaty for individuals. Its there for certain category like small business and certain professions like teacher, research etc.']"
What is the 'real' monthly cost of a car?,,finance,chatgpt,"['The ""real"" monthly cost of a car can vary greatly depending on a variety of factors, including the make and model of the car, its age and condition, the terms of the financing or lease agreement, and the cost of insurance and maintenance. Here are some of the key components that can contribute to the overall monthly cost of a car:Purchase price or lease payments: The amount you pay for the car itself can have a significant impact on your monthly costs. If you are financing the purchase of a car, your monthly payment will depend on the amount of the loan, the interest rate, and the loan term. If you are leasing a car, your monthly payment will depend on the terms of the lease agreement, including the length of the lease and the amount of the down payment.Financing or lease fees: In addition to the purchase price or lease payments, you may also have to pay financing or lease fees, such as an origination fee or a documentation fee. These fees can add to your overall monthly cost.Insurance: The cost of car insurance can vary widely depending on a variety of factors, including your age, the make and model of your car, your driving history, and where you live. It\'s important to shop around and compare quotes from different insurance companies to get the best rate.Maintenance and repairs: The cost of maintaining and repairing your car can vary depending on the make and model, as well as your driving habits and the condition of the car. It\'s important to budget for regular maintenance and be prepared for unexpected repairs.Fuel: The cost of fuel can also be a significant part of the overall monthly cost of owning a car. The fuel efficiency of your car, as well as the cost of gas in your area, can both impact your fuel costs.To get a better sense of the ""real"" monthly cost of a car, it can be helpful to create a budget that takes into account all of these factors and allows you to see exactly how much you are spending on your car each month. This can help you make informed decisions about whether you can afford a particular car and what adjustments you might need to make to your budget to accommodate the cost.']"
What is Systematic about Systematic Investment Plan (SIP) and who invented it?,,finance,gemini,"There isn't a widely known ETF that perfectly tracks the exact 25-stock strategy, but you can look into broader momentum-based or quantitative ETFs."
Best steps to start saving money for a fresh grad in Singapore?,,finance,human,"[""This is assuming that you are now making some amount X per month which is more than the income you used to have as a student. (Otherwise, the question seems rather moot.) All figures should be net amounts (after taxes). First, figure out what the difference in your cost of living is. That is, housing, electricity, utilities, the basics that you need to have to have a place in which to live. I'm not considering food costs here unless they were subsidized while you were studying. Basically, you want to figure out how much you now have to spend extra per month for basic sustenance. Then, figure out how much more you are now making, compared to when you were a student. Subtract the sustenance extra from this to get your net pay increase. After that is when it gets trickier. Basically, you want to set aside or invest as much of the pay increase as possible, but you probably have other expenses now that you didn't before and which you cannot really do that much about. This mights be particular types of clothes, commute fares (car keepup, gas, bus pass, ...), or something entirely different. Anyway, decide on a savings goal, as a percentage of your net pay increase compared to when you were a student. This might be 5%, 10% or (if you are really ambitious) 50% or more. Whichever number you pick, make sure it's reasonable giving your living expenses, and keep in mind that anything is better than nothing. Find a financial institution that offers a high-interest savings account, preferably one with free withdrawals, and sign up for one. Each and every time you get paid, figure out how much to save based on the percentage you determined (if your regular case is that you get the same payment each time, you can simply set up an automated bank transfer), put that in the savings account and, for the moment, forget about that money. Try your best to live only on the remainder, but if you realize that you set aside too much, don't be afraid to tap into the savings account. Adjust your future deposits accordingly and try to find a good balance. At the end of each month, deposit whatever remains in your regular account into your savings account, and if that is a sizable amount of money, consider raising your savings goal a little. The ultimate goal should be that you don't need to tap into your savings except for truly exceptional situations, but still keep enough money outside of the savings account to cater to some of your wants. Yes, bank interest rates these days are often pretty dismal, and you will probably be lucky to find a savings account that (especially after taxes) will even keep up with inflation. But to start with, what you should be focusing on is not to make money in terms of real value appreciation, but simply figuring out how much money you really need to sustain a working life for yourself and then walking that walk. Eventually (this may take anywhere from a couple of months to a year or more), you should have settled pretty well on an amount that you feel comfortable with setting aside each month and just letting be. By that time, you should have a decently sized nest egg already, which will help you get over rough spots, and can start thinking about other forms of investing some of what you are setting aside. Whenever you get a net pay raise of any kind (gross pay raise, lower taxes, bonus, whichever), increase your savings goal by a portion of that raise. Maybe give yourself 60% of the raise and bank the remaining 40%. That way, you are (hopefully!) always increasing the amount of money that you are setting aside, while also reaping some benefits right away. One major upside of this approach is that, if you lose your job, not only will you have that nest egg, you will also be used to living on less. So you will have more money in the bank and less monthly expenses, which puts you in a significantly better position than if you had only one of those, let alone neither.""]"
"Q. Can insect bite cause a boil with burning sensation?Hello doctor,The patient is 62 years old, weight 41 kg. All test reports are normal. There is a boil problem in the upper half of the right leg above the knee. She is having a burning sensation due to the same. It is spreading. Is it due to insect bite?",,medicine,chatgpt,"['It is possible that an insect bite could cause a boil with a burning sensation. Boils, also known as abscesses, are painful, red, and swollen areas on the skin that are caused by an infection. They can occur anywhere on the body and are often accompanied by other symptoms, such as fever, chills, and fatigue. Insect bites can cause skin irritation, inflammation, and infection, which can lead to the development of a boil. If the boil is spreading or causing significant discomfort, it is important for the patient to see a healthcare provider for proper diagnosis and treatment. The healthcare provider will be able to examine the boil and determine the cause and the most appropriate treatment.']"
"Severe anger issues, unable to control temper, violent behaviour. Causes and treatment?sir, my brother is having some trouble now. He is getting angry for simple things. After some talk he said that he is not able to controll it and at that time he cant think that his relatives are there and his hands shaking. and doing very badly to parents. Now he is almost trying to beat also. Sir What is the reson for this and what type of treatment he need?",,medicine,chatgpt,"[""It is very concerning to hear that your brother is experiencing severe anger issues and is exhibiting violent behavior. It is important to seek professional help as soon as possible in order to address this issue and ensure the safety of your brother and those around him.\n\nThere can be a variety of causes for anger issues and violent behavior. It is possible that your brother may be experiencing stress, depression, anxiety, or other mental health issues that are contributing to his anger. Substance abuse, past trauma, or a medical condition such as a brain injury or hormonal imbalance could also be contributing factors.\n\nIt is important to have your brother evaluated by a mental health professional, such as a psychiatrist or psychologist, in order to determine the underlying causes of his anger and develop an appropriate treatment plan. Treatment may include therapy, medication, or a combination of both. It is also important for your brother to learn coping strategies for managing his anger, such as deep breathing, counting to ten, or taking breaks when he feels overwhelmed.\n\nIt is important to remember that seeking help for anger issues is a positive step towards improving your brother's mental health and well-being. Encourage your brother to speak with a mental health professional and support him in seeking treatment.""]"
Is it acceptable to receive payment from U.S. in Indian saving bank account via PayPal?,,finance,gemini,"An S-Corp is just a tax designation; legally, it is still a corporation and should be signified with 'Inc.', 'Corp.', or 'Ltd.' depending on state rules."
"Suggest treatment for swollen and painful hands and feetI am having a lot of pain in literally every joint, and my feet and hands feel slightly swollen. This has been an issue for a couple of weeks. Prior to this I have been receiving corticosteroid shots in and around my spine for pain which started after a C5,6,7 fusion which resulted in immediate and extreme pain over two years ago. Been doing a lot of pain management.",,medicine,gemini,Treatment usually requires a combination of Cognitive Behavioral Therapy (CBT) and psychiatric medications like SSRIs. Consider consulting a mental health professional.
